start,trough,end,depth,duration,recovery
2020-03-27,2021-02-18,2023-10-17,-0.15671300145821251,1299,971
2024-03-06,2024-06-05,2024-12-26,-0.05551484403823048,295,204
2019-10-25,2020-01-17,2020-02-17,-0.04776820190728017,115,31
2019-09-05,2019-09-16,2019-10-10,-0.04388535345875421,35,24
2019-05-20,2019-05-28,2019-06-18,-0.03807523768759325,29,21
2023-11-21,2023-12-07,2024-01-11,-0.027637951395698863,51,35
2019-03-05,2019-03-11,2019-04-18,-0.024822771847042846,44,38
2020-03-16,2020-03-18,2020-03-20,-0.01581659567187631,4,2
2020-03-23,2020-03-23,2020-03-24,-0.01117458007575647,1,1
2019-06-20,2019-06-26,2019-07-02,-0.009826394401276325,12,6
2019-10-17,2019-10-18,2019-10-24,-0.009796041807613034,7,6
2019-08-23,2019-08-23,2019-08-28,-0.008023685422351632,5,5
2019-08-06,2019-08-09,2019-08-13,-0.006692632571958244,7,4
2019-07-26,2019-07-26,2019-07-30,-0.006334059299865023,4,4
2024-02-09,2024-02-13,2024-02-22,-0.005739917520777003,13,9
2024-01-23,2024-01-24,2024-02-02,-0.005570870148690717,10,9
2019-07-09,2019-07-12,2019-07-16,-0.004741497216984119,7,4
2019-05-14,2019-05-14,2019-05-15,-0.004069128792746166,1,1
2019-10-14,2019-10-15,2019-10-16,-0.003797584870247305,2,1
2020-03-11,2020-03-11,2020-03-12,-0.003475053292283329,1,1
2019-07-31,2019-08-02,2019-08-05,-0.0033379418634369344,5,3
2019-07-03,2019-07-04,2019-07-05,-0.0029115179985118697,2,1
2019-07-22,2019-07-22,2019-07-24,-0.0024694406953837773,2,2
2023-10-25,2023-10-25,2023-10-27,-0.002086511927227751,2,2
2020-02-19,2020-02-19,2020-02-20,-0.0018938160570117725,1,1
2023-11-03,2023-11-06,2023-11-07,-0.001873040165270952,4,1
2023-11-15,2023-11-15,2023-11-16,-0.0016857437687492604,1,1
2019-07-17,2019-07-17,2019-07-18,-0.001622350090242179,1,1
2019-08-29,2019-08-29,2019-09-04,-0.0010024756691285332,6,6
2023-11-09,2023-11-09,2023-11-10,-0.0009012720752537804,1,1
2020-03-04,2020-03-04,2020-03-05,-0.0008492125225185973,1,1
2019-04-25,2019-04-25,2019-04-30,-0.0007562238836023321,5,5
2019-05-03,2019-05-03,2019-05-07,-0.0007213579470713182,4,4
2024-02-26,2024-02-26,2024-02-27,-0.0005685063717165447,1,1
2024-12-27,2024-12-27,2024-12-30,-0.0004884170446031946,3,3
