cagr,annual_vol,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,total_return,skewness,kurtosis,n_days,daily_vol,test_start,test_end,window_idx
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,2019-01-01,2019-01-31,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,2019-02-01,2019-02-28,1
-0.155096,0.09395,-2.3427,-1.8703,-0.024823,-6.2481,0.6111,0.6721,-0.011966,-2.5865,8.5878,18,0.005918,2019-03-01,2019-03-28,2
0.637115,0.055449,10.3178,74.8729,-0.002424,262.8432,0.6316,7.4277,0.037865,1.6877,3.1219,19,0.003493,2019-04-01,2019-04-30,3
0.031044,0.105407,-0.3221,-0.3529,-0.038075,0.8153,0.5909,1.0625,0.002673,-1.3469,2.6013,22,0.00664,2019-05-02,2019-05-31,4
0.638672,0.060924,9.4162,11.4392,-0.009826,64.9956,0.6842,4.3015,0.037939,-0.6418,1.5461,19,0.003838,2019-06-03,2019-06-28,5
0.494087,0.074639,5.7488,14.7269,-0.006334,78.0047,0.5652,2.719,0.037326,1.0702,1.7406,23,0.004702,2019-07-01,2019-07-31,6
0.665416,0.079118,7.5889,14.4407,-0.008024,82.9315,0.6,3.57,0.041313,0.5395,0.7983,20,0.004984,2019-08-01,2019-08-30,7
-0.058921,0.114175,-1.0854,-1.6767,-0.043885,-1.3426,0.4211,0.9286,-0.004568,-0.2324,-0.7781,19,0.007192,2019-09-03,2019-09-30,8
-0.041017,0.070783,-1.4978,-1.8863,-0.020503,-2.0005,0.45,0.9102,-0.003318,-0.8847,1.5411,20,0.004459,2019-10-01,2019-10-31,9
-0.164103,0.073967,-3.0973,-4.8434,-0.030943,-5.3034,0.35,0.6715,-0.014125,0.2675,-0.327,20,0.00466,2019-11-01,2019-11-29,10
0.125391,0.055506,1.088,2.7858,-0.012525,10.0112,0.381,1.4767,0.009893,1.2883,2.1179,21,0.003497,2019-12-02,2019-12-31,11
0.146143,0.085354,0.9507,1.3034,-0.023567,6.2012,0.5217,1.3233,0.012527,-0.3819,0.584,23,0.005377,2020-01-01,2020-01-31,12
