2026-07-13 18:48:53 | INFO | setup | Step 1: Fetching Nifty 500 tickers...
2026-07-13 18:48:54 | INFO | fetch_universe | Fetched 500 tickers from Nifty 500.
2026-07-13 18:48:54 | INFO | setup | Got 500 tickers
2026-07-13 18:48:54 | INFO | setup | Step 2: Downloading OHLCV data (this takes 30-60 mins)...
2026-07-13 18:48:55 | INFO | download_data | [1/500] Saved: 360ONE.NS
2026-07-13 18:48:56 | INFO | download_data | [2/500] Saved: 3MINDIA.NS
2026-07-13 18:48:57 | INFO | download_data | [3/500] Saved: ABB.NS
2026-07-13 18:48:57 | INFO | download_data | [4/500] Saved: ACC.NS
2026-07-13 18:48:58 | INFO | download_data | [5/500] Saved: ACMESOLAR.NS
2026-07-13 18:48:58 | INFO | download_data | [6/500] Saved: AIAENG.NS
2026-07-13 18:48:59 | INFO | download_data | [7/500] Saved: APLAPOLLO.NS
2026-07-13 18:48:59 | INFO | download_data | [8/500] Saved: AUBANK.NS
2026-07-13 18:49:00 | INFO | download_data | [9/500] Saved: AWL.NS
2026-07-13 18:49:00 | INFO | download_data | [10/500] Saved: AADHARHFC.NS
2026-07-13 18:49:01 | INFO | download_data | [11/500] Saved: AARTIIND.NS
2026-07-13 18:49:01 | INFO | download_data | [12/500] Saved: AAVAS.NS
2026-07-13 18:49:02 | INFO | download_data | [13/500] Saved: ABBOTINDIA.NS
2026-07-13 18:49:02 | INFO | download_data | [14/500] Saved: ACE.NS
2026-07-13 18:49:03 | INFO | download_data | [15/500] Saved: ACUTAAS.NS
2026-07-13 18:49:03 | INFO | download_data | [16/500] Saved: ADANIENSOL.NS
2026-07-13 18:49:04 | INFO | download_data | [17/500] Saved: ADANIENT.NS
2026-07-13 18:49:04 | INFO | download_data | [18/500] Saved: ADANIGREEN.NS
2026-07-13 18:49:04 | INFO | download_data | [19/500] Saved: ADANIPORTS.NS
2026-07-13 18:49:06 | INFO | download_data | [20/500] Saved: ADANIPOWER.NS
2026-07-13 18:49:06 | INFO | download_data | [21/500] Saved: ATGL.NS
2026-07-13 18:49:07 | INFO | download_data | [22/500] Saved: ABCAPITAL.NS
2026-07-13 18:49:07 | INFO | download_data | [23/500] Saved: ABFRL.NS
2026-07-13 18:49:09 | WARNING | download_data | No data for: ABLBL.NS
2026-07-13 18:49:09 | INFO | download_data | [25/500] Saved: ABREL.NS
2026-07-13 18:49:09 | INFO | download_data | [26/500] Saved: ABSLAMC.NS
2026-07-13 18:49:11 | WARNING | download_data | No data for: CPPLUS.NS
2026-07-13 18:49:11 | INFO | download_data | [28/500] Saved: AEGISLOG.NS
2026-07-13 18:49:12 | WARNING | download_data | No data for: AEGISVOPAK.NS
2026-07-13 18:49:12 | INFO | download_data | [30/500] Saved: AFCONS.NS
2026-07-13 18:49:13 | INFO | download_data | [31/500] Saved: AFFLE.NS
2026-07-13 18:49:13 | INFO | download_data | [32/500] Saved: AJANTPHARM.NS
