Date,rolling_vol,rolling_sharpe,rolling_var95,rolling_cvar95,rolling_maxdd
2019-01-01,,,,,
2019-01-02,,,,,
2019-01-03,,,,,
2019-01-04,,,,,
2019-01-07,,,,,
2019-01-08,,,,,
2019-01-09,,,,,
2019-01-10,,,,,
2019-01-11,,,,,
2019-01-14,,,,,
2019-01-15,,,,,
2019-01-16,,,,,
2019-01-17,,,,,
2019-01-18,,,,,
2019-01-21,,,,,
2019-01-22,,,,,
2019-01-23,,,,,
2019-01-24,,,,,
2019-01-25,,,,,
2019-01-28,,,,,
2019-01-29,,,,,
2019-01-30,,,,,
2019-01-31,,,,,
2019-02-01,,,,,
2019-02-04,,,,,
2019-02-05,,,,,
2019-02-06,,,,,
2019-02-07,,,,,
2019-02-08,,,,,
2019-02-11,,,,,
2019-02-12,,,,,
2019-02-14,,,,,
2019-02-15,,,,,
2019-02-18,,,,,
2019-02-19,,,,,
2019-02-20,,,,,
2019-02-21,,,,,
2019-02-22,,,,,
2019-02-25,,,,,
2019-02-26,,,,,
2019-02-27,,,,,
2019-02-28,,,,,
2019-03-01,,,,,
2019-03-05,,,,,
2019-03-06,,,,,
2019-03-07,,,,,
2019-03-08,,,,,
2019-03-11,,,,,
2019-03-12,,,,,
2019-03-13,,,,,
2019-03-14,,,,,
2019-03-15,,,,,
2019-03-18,,,,,
2019-03-19,,,,,
2019-03-20,,,,,
2019-03-22,,,,,
2019-03-25,,,,,
2019-03-26,,,,,
2019-03-27,,,,,
2019-03-28,,,,,
2019-04-01,,,,,
2019-04-02,,,,,
2019-04-03,0.01697864905342069,-1.8002738214309078,,,
2019-04-04,0.017066481042814743,-1.9653224550972375,-0.0010132108357171902,-0.0016953316508891,-0.005379762804448379
2019-04-05,0.01713869715134326,-1.7438465065630202,-0.0010132108357171902,-0.0016953316508891,-0.005379762804448379
2019-04-08,0.01729652950996568,-1.9684024327772955,-0.0010132108357171902,-0.0016953316508891,-0.005379762804448379
2019-04-09,0.01730119091000855,-1.9945881973208328,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-10,0.017308938270948225,-2.0326143189756114,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-11,0.01731639998132894,-2.070008213978516,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-12,0.01734532279961674,-1.9231464774996396,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-15,0.017450440112192444,-1.6632848699062681,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-16,0.017482943118920704,-1.5030051949571361,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-18,0.017943739039998786,-1.882957356459449,-0.00103769988626366,-0.0017006279424856999,-0.005379762804448379
2019-04-22,0.018960521254131533,-2.4037709334410766,-0.00126143993592203,-0.0019100696603149,-0.005379762804448379
2019-04-23,0.018972324537118716,-2.459550746932068,-0.00159481400930488,-0.002325394425503075,-0.0057882023181910405
2019-04-24,0.019242788744602453,-2.0768778409627955,-0.00159481400930488,-0.002325394425503075,-0.0060582911659346535
2019-04-25,0.01944671965623065,-2.325520508856352,-0.00159481400930488,-0.002325394425503075,-0.0060582911659346535
2019-04-26,0.019446210739565876,-2.3136074399991426,-0.00159767815044846,-0.002325394425503075,-0.0060582911659346535
2019-04-30,0.019975000957930814,-2.695204053412998,-0.00159767815044846,-0.002325394425503075,-0.0060582911659346535
2019-05-02,0.019975000957930814,-2.695204053412998,-0.00185273869726771,-0.0024709774056950753,-0.007843835670471054
2019-05-03,0.019988215831346485,-2.7591295443733714,-0.00185273869726771,-0.0024709774056950753,-0.007843835670471054
2019-05-06,0.020474877549709437,-3.120885146662949,-0.00185273869726771,-0.0024709774056950753,-0.008169603522113315
2019-05-07,0.021001867421070772,-3.4885000185477346,-0.00215643301405843,-0.002548435111206,-0.010339149296131764
2019-05-08,0.021745438972354397,-3.8954300752660984,-0.0022090478925521602,-0.002586910691097275,-0.012656260471308538
2019-05-09,0.021748658570675133,-3.8729677906449416,-0.00232833171679243,-0.002749224215030875,-0.015480760158308099
2019-05-10,0.021760166369904514,-3.819754032539154,-0.00232833171679243,-0.002749224215030875,-0.015480760158308099
2019-05-13,0.023038170034554085,-4.27897732472058,-0.00232833171679243,-0.002749224215030875,-0.015480760158308099
2019-05-14,0.023114548292893496,-4.125336228057858,-0.00279689022205276,-0.003130227357370675,-0.018896545135132115
2019-05-15,0.023284071860300227,-4.359668249409585,-0.00279689022205276,-0.003130227357370675,-0.018896545135132115
2019-05-16,0.023328207540144044,-4.252237572440353,-0.00279689022205276,-0.003130227357370675,-0.019616671097751108
2019-05-17,0.023547903880920075,-3.9636819611771896,-0.00279689022205276,-0.003130227357370675,-0.019616671097751108
2019-05-20,0.029522390622478436,-1.9717176739700921,-0.00279689022205276,-0.003130227357370675,-0.019616671097751108
2019-05-21,0.02990173795648936,-2.261705133381714,-0.00279689022205276,-0.003130227357370675,-0.019616671097751108
2019-05-22,0.030050320818990787,-2.054360080258914,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-23,0.03011217439843376,-2.177598028107857,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-24,0.03190564173559274,-1.3953990304807304,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-27,0.03277936151868643,-0.8903433282659854,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-28,0.03281945641668988,-0.7724292077555762,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-29,0.033142418825209685,-1.0257172941378325,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-30,0.03315158132725498,-1.0604187229539226,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-05-31,0.03335936782803046,-1.2636428144967529,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-06-03,0.03335936782803046,-1.2636428144967529,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-06-04,0.03341316225837308,-1.365442485860442,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-06-06,0.03405809777995433,-1.7188235525927993,-0.0027982357520959,-0.003130227357370675,-0.019616671097751108
2019-06-07,0.03405967907678185,-1.7360263333190058,-0.00285938590025017,-0.0032256068598475254,-0.019616671097751108
2019-06-10,0.03411921185710924,-1.849285014494091,-0.00285938590025017,-0.0032256068598475254,-0.019616671097751108
2019-06-11,0.032511365758079294,-2.4349746844894313,-0.00285938590025017,-0.0032256068598475254,-0.019616671097751108
2019-06-12,0.03267276986761755,-2.7380206951779704,-0.00285938590025017,-0.0032256068598475254,-0.01961667109775119
2019-06-13,0.03267389267134312,-2.7485327494825005,-0.00285938590025017,-0.0032256068598475254,-0.01961667109775083
2019-06-14,0.03277575494163399,-2.820829879686647,-0.00285938590025017,-0.0032256068598475254,-0.019616671097751188
2019-06-17,0.03254145155441772,-3.641443279939882,-0.00285938590025017,-0.0032256068598475254,-0.019616671097750917
2019-06-18,0.032267571031983966,-4.046115003552305,-0.0029386978024299897,-0.0032941416894102247,-0.01961667109775091
2019-06-19,0.03264016701381657,-4.226783589919917,-0.0029386978024299897,-0.0032941416894102247,-0.019174892134669465
2019-06-20,0.03319820501968433,-3.7761226468703835,-0.0029386978024299897,-0.0032941416894102247,-0.019206232241941724
2019-06-21,0.03319435702175985,-3.761511227579823,-0.0029386978024299897,-0.0032941416894102247,-0.01920623224194196
